Id,TicketType,TicketPrice,ClientId,ZooId
0,Full,15,1951,1
1,Senior,5,10016,8
2,Senior,10,528,8
3,Senior,15,15668,8
4,Junior,10,10374,1
5,Senior,5,22060,0
6,Senior,5,29763,2
7,Senior,10,23998,8
8,Senior,15,5506,6
9,Senior,15,18395,9
10,Senior,15,10278,1
11,Junior,5,22785,0
12,Senior,5,18945,8
13,Junior,15,22036,8
14,Full,15,12113,0
15,Junior,15,20089,8
16,Junior,15,3574,8
17,Senior,15,3127,7
18,Junior,5,1810,0
19,Full,5,3751,2
20,Senior,15,4821,3
21,Full,10,18770,7
22,Junior,5,26066,2
23,Junior,5,14368,3
24,Junior,5,9246,3
25,Senior,15,16985,7
26,Senior,10,25422,2
27,Junior,10,5543,0
28,Senior,10,16406,2
29,Junior,10,19903,0
30,Junior,15,1864,8
31,Junior,10,16377,3
32,Senior,5,9920,8
33,Full,10,9033,5
34,Junior,15,16643,9
35,Full,5,1113,6
36,Junior,10,17138,4
37,Senior,5,16170,5
38,Full,10,22432,6
39,Full,5,7596,3
40,Full,15,8575,3
41,Full,5,3971,4
42,Junior,10,1168,8
43,Senior,10,2944,3
44,Full,15,13549,2
45,Senior,15,14832,9
46,Senior,10,20540,5
47,Junior,10,17526,9
48,Senior,10,18124,4
49,Senior,10,12241,5
50,Full,10,2295,0
51,Senior,15,23593,6
52,Full,15,22604,2
53,Junior,10,21737,8
54,Junior,5,1131,5
55,Senior,10,17039,7
56,Junior,15,300,8
57,Senior,10,1463,7
58,Senior,15,6695,1
59,Junior,15,21771,6
60,Junior,10,24662,1
61,Senior,15,1468,7
62,Junior,5,28118,1
63,Full,10,16325,9
64,Junior,15,28578,1
65,Senior,5,10716,6
66,Junior,10,1413,5
67,Full,5,2801,2
68,Senior,15,552,2
69,Senior,5,28618,4
70,Junior,5,29281,3
71,Junior,10,4377,1
72,Full,15,9427,8
73,Junior,15,66,5
74,Junior,15,29390,8
75,Full,15,22550,5
76,Senior,5,85,0
77,Junior,15,24253,5
78,Full,5,313,8
79,Junior,5,17815,2
80,Junior,15,20451,1
81,Full,10,6578,9
82,Senior,10,22350,0
83,Senior,10,12538,9
84,Junior,10,14175,8
85,Senior,15,4225,6
86,Senior,5,17757,6
87,Junior,15,377,9
88,Junior,10,19715,0
89,Junior,5,29713,3
90,Junior,5,18033,8
91,Senior,10,29702,8
92,Junior,15,28955,4
93,Senior,10,183,3
94,Senior,10,16501,9
95,Full,10,26052,6
96,Full,10,11322,6
97,Junior,10,19152,4
98,Junior,15,8432,7
99,Junior,5,24418,5
100,Junior,10,19482,5
101,Full,10,21866,5
102,Junior,5,25593,6
103,Senior,10,15788,5
104,Full,10,22573,4
105,Full,10,8370,9
106,Full,15,20699,4
107,Junior,5,4611,5
108,Junior,5,10358,8
109,Junior,5,8234,9
110,Full,10,6596,9
111,Junior,5,26933,5
112,Senior,5,16772,2
113,Senior,5,11248,8
114,Senior,5,6561,2
115,Senior,5,27330,7
116,Senior,5,19963,3
117,Senior,15,4804,0
118,Junior,10,25250,0
119,Full,15,6480,7
120,Full,5,27576,4
121,Junior,15,7210,3
122,Full,10,20400,4
123,Full,15,20715,4
124,Junior,10,17315,7
125,Full,10,18309,2
126,Full,10,1319,5
127,Senior,10,2653,4
128,Junior,15,3127,3
129,Senior,10,577,0
130,Full,15,15864,9
131,Full,10,941,8
132,Junior,5,12599,4
133,Senior,15,24428,4
134,Full,15,3038,9
135,Junior,5,6478,9
136,Full,15,19125,3
137,Full,10,5966,8
138,Senior,5,16969,0
139,Senior,5,16925,6
140,Full,10,15032,6
141,Senior,10,29240,3
142,Junior,15,13464,0
143,Junior,5,15747,4
144,Senior,10,17788,7
145,Junior,10,28555,9
146,Junior,15,26616,1
147,Junior,5,25536,0
148,Senior,5,21716,9
149,Senior,10,25782,9
150,Full,15,6624,8
151,Senior,5,268,7
152,Senior,10,7572,8
153,Senior,10,17828,6
154,Senior,10,24939,1
155,Senior,5,9634,5
156,Senior,10,9892,7
157,Full,5,24594,6
158,Full,10,10676,4
159,Junior,15,23669,2
160,Junior,15,15309,6
161,Senior,5,12670,1
162,Full,10,9423,3
163,Junior,10,8316,3
164,Junior,5,4549,1
165,Full,15,18571,2
166,Senior,15,14408,5
167,Junior,15,18632,9
168,Senior,15,8034,0
169,Full,5,6481,6
170,Full,5,29524,6
171,Full,15,291,8
172,Senior,15,11359,2
173,Junior,5,12089,4
174,Full,10,22957,2
175,Senior,5,22729,0
176,Senior,5,26431,8
177,Senior,10,28767,8
178,Senior,10,14383,7
179,Junior,15,25441,0
180,Junior,15,18881,4
181,Full,10,26867,6
182,Senior,15,9474,6
183,Senior,10,5758,0
184,Junior,5,2776,4
185,Senior,15,26137,0
186,Senior,5,11182,1
187,Full,10,19697,5
188,Junior,5,28980,7
189,Senior,10,3947,1
190,Senior,5,1458,5
191,Full,15,26853,6
192,Junior,15,12280,5
193,Senior,10,14327,1
194,Senior,5,6249,3
195,Full,5,97,2
196,Junior,5,25385,8
197,Junior,10,11596,3
198,Senior,15,25753,5
199,Junior,15,27339,1
200,Junior,10,23802,7
201,Full,5,18935,3
202,Full,10,22763,4
203,Junior,10,11661,4
204,Senior,15,21690,7
205,Junior,5,1909,4
206,Junior,15,11788,9
207,Senior,5,22194,4
208,Junior,10,25134,8
209,Senior,5,5863,1
210,Junior,15,7437,2
211,Junior,15,24670,7
212,Junior,15,23086,2
213,Junior,10,7113,3
214,Senior,10,20457,0
215,Full,5,16740,8
216,Junior,15,10982,1
217,Junior,5,16982,8
218,Full,10,1974,3
219,Senior,5,19757,8
220,Junior,15,26990,0
221,Senior,5,23598,4
222,Senior,10,7148,8
223,Full,5,24083,8
224,Junior,5,23572,6
225,Junior,15,1654,9
226,Full,10,27113,1
227,Senior,15,8682,7
228,Senior,15,25188,3
229,Full,10,22982,9
230,Junior,15,8977,3
231,Senior,10,11403,1
232,Junior,5,7893,9
233,Full,10,2989,7
234,Full,15,28715,8
235,Junior,10,22982,5
236,Senior,10,7346,8
237,Senior,15,18402,0
238,Full,10,4488,5
239,Senior,15,13912,7
240,Senior,10,14480,3
241,Full,15,4007,6
242,Senior,5,12767,0
243,Full,10,15406,5
244,Full,5,17170,1
245,Senior,10,23272,5
246,Senior,10,28498,1
247,Full,15,15711,6
248,Junior,15,1942,5
249,Junior,15,269,2
250,Senior,5,24175,6
251,Full,10,13104,6
252,Senior,15,648,9
253,Senior,10,7445,4
254,Senior,5,21447,8
255,Full,5,13514,1
256,Senior,5,10631,4
257,Junior,5,13054,0
258,Full,10,9530,2
259,Senior,10,15079,6
260,Junior,5,27041,4
261,Junior,15,1959,6
262,Senior,15,8146,1
263,Full,5,19696,7
264,Senior,10,18096,1
265,Senior,5,20232,3
266,Full,5,11818,4
267,Senior,15,7160,4
268,Senior,5,6963,9
269,Junior,10,26718,1
270,Full,15,25628,9
271,Full,5,27885,7
272,Senior,10,12567,3
273,Junior,10,28210,2
274,Senior,15,26754,8
275,Junior,10,1169,9
276,Full,5,10625,9
277,Senior,5,15480,6
278,Full,15,2206,6
279,Junior,10,18656,8
280,Full,10,19162,0
281,Junior,5,18875,2
282,Senior,10,792,0
283,Junior,15,23228,0
284,Senior,15,12587,2
285,Full,5,4674,4
286,Junior,10,21513,6
287,Junior,5,16267,5
288,Junior,15,9390,6
289,Full,5,9330,7
290,Junior,15,3403,1
291,Junior,10,18263,9
292,Junior,5,22938,0
293,Senior,5,1124,6
294,Full,10,4428,9
295,Senior,5,29345,2
296,Junior,10,11192,5
297,Senior,10,9307,1
298,Senior,15,17195,4
299,Full,15,28868,9
300,Junior,10,28485,8
301,Senior,15,15093,8
302,Senior,10,18240,7
303,Junior,15,14181,4
304,Full,5,20216,1
305,Junior,10,8089,0
306,Senior,5,18654,6
307,Senior,15,17626,8
308,Senior,5,23239,4
309,Full,10,3238,9
310,Full,15,25575,2
311,Full,10,18111,4
312,Junior,10,2452,7
313,Junior,5,1553,1
314,Full,10,7725,5
315,Junior,5,11433,7
316,Junior,5,3432,2
317,Full,5,14172,6
318,Full,15,531,6
319,Senior,15,8206,3
320,Senior,5,17249,5
321,Junior,5,19616,2
322,Senior,5,19010,7
323,Junior,15,1362,8
324,Junior,15,26685,7
325,Senior,15,17618,8
326,Senior,10,11384,5
327,Full,15,23501,3
328,Senior,10,18751,9
329,Senior,10,50,9
330,Junior,10,5643,8
331,Senior,10,13528,7
332,Full,10,16492,0
333,Full,5,11004,7
334,Full,5,16515,6
335,Junior,5,15757,6
336,Junior,15,15311,6
337,Junior,5,4090,9
338,Junior,5,6948,1
339,Senior,10,4450,6
340,Senior,15,6044,9
341,Senior,15,8682,4
342,Full,5,15892,4
343,Senior,5,10279,6
344,Senior,5,4227,2
345,Senior,10,20972,1
346,Senior,10,10543,0
347,Senior,5,5443,4
348,Junior,15,20294,5
349,Senior,10,24278,8
350,Junior,10,25661,8
351,Junior,5,23319,0
352,Senior,10,23055,5
353,Senior,15,29010,1
354,Senior,15,8689,4
355,Full,15,22539,1
356,Senior,10,24168,0
357,Full,10,1501,8
358,Senior,10,18986,7
359,Junior,10,16282,7
360,Full,5,22935,7
361,Senior,10,9950,3
362,Full,15,17108,6
363,Junior,10,28185,4
364,Senior,10,5964,8
365,Senior,5,4638,4
366,Full,10,25775,9
367,Junior,15,12327,7
368,Junior,10,12691,0
369,Full,15,7102,5
370,Junior,5,2788,3
371,Senior,5,6918,5
372,Junior,5,7137,2
373,Junior,15,20984,0
374,Senior,10,2421,3
375,Junior,5,9985,1
376,Full,15,25532,3
377,Senior,5,1783,4
378,Full,15,8337,9
379,Junior,5,23350,3
380,Full,5,8032,5
381,Junior,10,19539,9
382,Senior,5,22693,4
383,Junior,5,8778,7
384,Junior,15,2606,3
385,Junior,10,15464,8
386,Senior,15,10765,3
387,Full,15,6993,0
388,Senior,5,12515,0
389,Junior,5,4925,4
390,Senior,10,23090,8
391,Full,5,25339,4
392,Junior,15,22573,1
393,Full,15,13541,9
394,Junior,10,1610,5
395,Full,5,14163,3
396,Full,15,7388,5
397,Junior,15,22539,1
398,Junior,15,11360,2
399,Junior,5,3913,5
400,Junior,10,23025,6
401,Junior,15,21355,6
402,Senior,5,3946,4
403,Senior,10,1466,8
404,Full,15,8672,4
405,Full,5,22386,8
406,Senior,15,24918,5
407,Senior,5,14314,9
408,Senior,10,26454,8
409,Junior,10,9950,0
410,Full,15,12501,0
411,Junior,10,22079,8
412,Full,10,6523,4
413,Senior,15,10313,4
414,Junior,5,12325,7
415,Junior,5,12552,9
416,Senior,10,29985,0
417,Full,5,6289,4
418,Senior,10,13330,4
419,Full,10,22837,0
420,Junior,15,22989,9
421,Junior,5,23293,9
422,Senior,10,11701,5
423,Full,15,1591,1
424,Senior,5,17690,7
425,Full,10,28539,5
426,Junior,10,15926,3
427,Junior,10,20031,0
428,Junior,15,28515,0
429,Senior,5,3042,1
430,Junior,15,15832,3
431,Full,5,10946,5
432,Full,15,4961,6
433,Full,10,26880,4
434,Senior,10,28487,2
435,Senior,10,4414,0
436,Full,15,10151,2
437,Senior,10,27352,8
438,Full,5,1998,1
439,Full,15,18178,0
440,Junior,15,26391,8
441,Full,15,22987,2
442,Senior,10,424,4
443,Junior,10,3035,7
444,Senior,15,19958,4
445,Senior,15,25225,5
446,Junior,5,21142,7
447,Senior,5,17029,6
448,Full,5,3366,6
449,Full,10,5733,7
450,Senior,5,2226,1
451,Junior,15,17555,9
452,Full,10,27354,4
453,Full,15,1257,7
454,Junior,5,17811,1
455,Senior,5,23975,5
456,Senior,5,16405,2
457,Junior,5,13486,2
458,Full,5,5642,5
459,Full,10,24092,2
460,Junior,15,23405,0
461,Junior,5,22372,7
462,Senior,10,15600,4
463,Full,10,17628,5
464,Senior,5,4598,5
465,Full,5,8339,1
466,Full,15,20139,1
467,Junior,5,28459,5
468,Senior,10,28029,2
469,Senior,10,2428,7
470,Junior,15,21797,1
471,Junior,15,25501,1
472,Full,10,13783,3
473,Full,5,130,3
474,Full,15,19547,4
475,Senior,10,1756,2
476,Full,5,613,6
477,Junior,15,5465,6
478,Full,5,16949,2
479,Junior,5,23676,4
480,Full,15,13143,6
481,Junior,10,17020,7
482,Junior,10,17483,9
483,Junior,15,26952,0
484,Full,5,22369,5
485,Full,5,23860,1
486,Full,10,12976,8
487,Senior,10,14906,3
488,Junior,10,22548,5
489,Senior,5,23576,0
490,Junior,10,28686,0
491,Full,10,10106,6
492,Full,10,1450,1
493,Senior,15,15712,2
494,Full,15,6281,0
495,Full,10,15055,2
496,Junior,10,19095,0
497,Junior,5,7484,1
498,Junior,5,3682,9
499,Junior,15,7366,4
500,Junior,15,6703,4
501,Junior,15,9526,5
502,Junior,15,1882,6
