Id,ZooName,ZooAddres,City
0,neque,26926 North Berlin Ln.,Bessemer
1,luctus cursus imperdiet,61033  Netherlands Antilles Ave.,Janesville
2,pulvinar,20207 East Swaziland St.,Reedsport
3,Maecenas nisi,52358 North Cameroon Ct.,Waycross
4,habitant,2521  Azusa St.,Sierra Vista
5,nunc,8193 South Ukraine Way,Fontana
6,tincidunt eu facilisi,25622 North Cedarburg Blvd.,Alexandria
7,sociosqu orci iaculis,90375 West Antigua and Barbuda Blvd.,Melrose
8,ultrices,77170 South Atwater Blvd.,Rohnert Park
9,volutpat sem,89297  Canada Ln.,Durango
10,Sed Curabitur nec,2301  Libyan Arab Jamahiriya St.,Quincy
11,est malesuada,83367 West Montserrat St.,Pass Christian
12,accumsan fames aliquam,30142 North Laurel Ave.,Birmingham
13,In lectus elementum,38026 South Portugal Ave.,Parma
14,sodales mattis,25579 South Tajikistan Way,Athens
15,luctus metus,61449 North Mexico Way,Corinth
16,interdum Phasellus,24729 North Russian Federation Ln.,Durant
17,tellus aliquet,60499 South Mission Viejo St.,West Memphis
18,arcu eleifend,51187 South Apple Valley Way,Hannibal
19,pretium,11550 East Reunion St.,Idabel
20,vel montes,63829 West Geneva Way,Pulaski
21,euismod pretium,5513 West Sweden St.,San Marino
22,ante,67708 West Vanuatu Way,Charlotte
23,nisi tristique,7816 North Norway Ct.,Lancaster
24,torquent,35211 West Forest Lake Ct.,Guánica
